at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,at11,at12,at13,at14,at15,at16,at17,at18,at19,at20,at21,at22,at23,at24,at25,at26,at27,at28,at29,at30,at31,label
1,0.28571,0.66667,0.6,1,1,1,0.8,1,0.25,0.66667,0,1,0.19048,0.88043,0.030612,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21434,1
0.57143,0,1,0.5,0.3,1,1,1,0.83333,0.5,1,0,1,0.047619,0.77174,0.010204,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21436,1
0.71429,0.14286,0.66667,0.5,0.4,1,1,0.5,0.66667,0.25,1,0,1,0.095238,0.80435,0.010204,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21436,1
0.71429,0.28571,0.66667,0.4,0.4,1,1,1,0.5,0.25,0.16667,0,1,0.047619,0.30435,0.030612,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.21465,1
0,0.14286,0.33333,0.5,0.6,0,1,0.7,0.66667,0.25,1,0,1,0.095238,0.52174,0.030612,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21473,0
0,0.28571,0.33333,0.5,0.6,0,1,0.8,0,0.5,1,0,1,0.095238,0.55435,0.010204,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21477,0
0.57143,0,0.33333,0.8,0.8,0,1,1,0.66667,0,0.5,0,1,0.047619,0.79348,0,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21481,0
0.28571,0.14286,0.33333,0.8,0.9,1,1,0.9,0.66667,0.25,0,0,0.8,0.2381,0.63043,0.020408,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21481,0
0.57143,0.28571,0,0.2,0,1,0,1,0.83333,0.5,1,0,1,0.14286,0.65217,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21483,0
0.85714,0.14286,0.33333,0.8,0.5,0,1,0.9,0.66667,0.25,0.83333,0,1,0.095238,0.86957,0.020408,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21483,0
0.42857,0,0.33333,0.6,0.7,0,1,0.9,0.66667,0.25,1,0,1,0.095238,0.77174,0,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21485,0
0.42857,0.14286,1,0.5,0.3,1,1,0.8,1,0.25,0.83333,0,0.6,0,0.88043,0.05102,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21487,1
0.14286,0.28571,0.33333,0.3,0.6,0,1,0.9,0.83333,0.25,0.16667,0,0.8,0.095238,0.78261,0.010204,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21487,0
1,0.14286,0.33333,0.7,0.3,1,1,0.3,0.83333,0.75,1,0,0.2,0,0.59783,0.05102,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2151,0
0,0,1,0.6,0.7,1,1,0.7,0.66667,0.75,1,0,0.4,0.14286,0.92391,0.020408,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21519,1
0.28571,0.14286,0.66667,0.8,0.7,0,1,0.8,0.83333,0,0.83333,0,1,0.047619,0.76087,0,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21521,1
0.28571,0.28571,0.33333,0.5,0.5,1,1,1,0.83333,0,0,0,0.6,0.14286,0.71739,0,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21521,0
0.71429,0.42857,0,0.6,0.5,0,0,0.8,0.83333,0.25,0.83333,0,1,0.047619,0.6087,0.030612,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21525,0
0.85714,0.14286,0.33333,0.5,0.2,1,0,0.5,0.16667,0.5,1,0,1,0.095238,0.48913,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21525,0
1,0.14286,1,0.5,0.8,0,1,0.8,1,0.5,1,0,0.4,0.19048,0.82609,0.020408,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21527,1
1,0.42857,1,0,0,1,1,0.5,0.83333,0.25,0,0,0.4,0.19048,0.70652,0,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21527,1
1,0.28571,0.66667,0.3,0.8,1,1,0.9,0.16667,0.5,0.33333,0,1,0.095238,0.81522,0.020408,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21529,1
1,0.14286,0.66667,0.2,0.2,0,1,0.3,1,1,1,0,1,0.095238,0.48913,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21529,1
0.42857,0.14286,0.66667,0.5,0.5,0,1,0.9,0.5,0.5,0,0,0.8,0.047619,0.77174,0.030612,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21529,1
0.28571,0.28571,0,0.3,0.3,0,1,0.8,0.16667,0.25,0.33333,0,1,0.33333,0.61957,0.010204,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21529,0
1,0.28571,0.33333,0.2,0.5,1,0,0.5,0.5,0.25,1,0,1,0.047619,0.72826,0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21531,0
0.71429,0,1,0.5,0.7,1,1,1,0.5,0,1,0,1,0.047619,0.69565,0,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.21558,1
1,0.71429,0,0.5,0.5,1,1,0.7,0.83333,0.5,0.66667,0,1,0.047619,0.42391,0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21566,0
0.57143,0.57143,0.66667,0.8,0.8,1,1,0.8,0.66667,0.5,0.16667,0,0.6,0.14286,0.73913,0.010204,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2157,1
0.14286,0.14286,0.66667,0.5,0.6,1,1,0.7,0.5,0.25,1,0,1,0.14286,0.77174,0.020408,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21571,1
0.85714,0.28571,0.33333,0.5,0.5,0,1,0.8,1,0.25,1,0,1,0.047619,0.59783,0.010204,0.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21602,0
0.85714,0.14286,0.66667,0,0,1,1,0.8,0.16667,0,1,0,1,0.14286,0.72826,0.010204,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21612,1
1,0.28571,0.66667,0.8,0.5,1,1,0.9,0.83333,0.25,0.33333,0,0.6,0.28571,0.86957,0.030612,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21614,1
0,0,0.33333,0.3,0.5,1,1,0.9,0.66667,0,0.83333,0,1,0.047619,0.81522,0,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21618,0
0.14286,0,0.33333,0.2,0.3,0,0,0.7,1,0.5,1,0,0.8,0.095238,0.6413,0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21622,0
0.28571,0,1,0.7,0.6,1,1,1,1,0,1,0,0.4,0.047619,0.80435,0,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21651,1
1,0.28571,0.33333,0.6,0.5,1,1,0.5,1,0.25,1,0,0.2,0.14286,0.66304,0.010204,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21651,0
0.85714,0,1,0.6,0.6,1,1,0.5,0.66667,0.5,0.83333,0,0.6,0.047619,0.8587,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21654,1
0,0.14286,1,0,0.7,0,1,1,0.66667,0,1,0,0.6,0.14286,0.59783,0.010204,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21705,1
0.28571,0.28571,0.66667,0.5,0.8,1,1,0,1,0.75,0,0,0.2,0.047619,0.80435,0.010204,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2171,1
0.14286,0.28571,0.33333,0.5,0.5,0,1,0.6,0.33333,0.5,0,0,0.6,0.095238,0.73913,0.020408,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21712,0
0.28571,0.28571,0.33333,0.5,0.7,0,1,0.7,0.33333,0.25,1,0,1,0.047619,0.83696,0,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21712,0
0,0,0.66667,0.5,0.4,1,1,1,0.83333,0.25,0.83333,0,0.8,0.095238,0.77174,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21714,1
0.28571,0.57143,0,0.5,0.5,0,1,1,0.33333,0.25,1,0,1,0.19048,0.59783,0,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21714,0
0.42857,0.42857,1,0.6,0.7,1,1,0.5,0.83333,0.5,1,0,0.6,0.095238,0.73913,0,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21714,1
0.85714,0,0,0,0,1,1,0.8,0.83333,0,1,0,1,0,0.69565,0.05102,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21714,0
0.71429,0.28571,0.66667,0.3,0.2,1,1,0.8,0.33333,0.25,1,0,1,0.047619,0.70652,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21716,1
0,0.28571,0.66667,0.8,0.5,0,0,0.9,1,0.5,0,0,1,0.095238,0.6413,0.020408,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21718,1
0.71429,0.28571,0.33333,0.4,0.5,0,0,0.5,1,0.75,1,0,1,0.095238,0.58696,0.010204,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21757,0
0.28571,0.14286,0.33333,0.4,0.5,0,1,0.9,0.66667,0,1,0,1,0.19048,0.54348,0,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21757,0
1,0.14286,0.33333,0.3,0.3,0,1,0.5,0.66667,0.25,0.83333,0,0.8,0.095238,0.71739,0.020408,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21759,0
1,0.14286,1,0.5,0.5,1,1,0.9,0.83333,0.25,1,0,1,0.095238,0.86957,0.020408,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21761,1
1,0.14286,0.66667,0.5,0.7,0,1,0.9,1,0.25,1,0,0.8,0.19048,0.69565,0,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21789,1
1,0.42857,1,0.4,0,0,1,0.6,0.16667,0.5,0,0,1,0.047619,0.5,0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21797,1
1,0,1,0.6,0.1,1,1,0.2,1,0.75,1,0,1,0.095238,0.75,0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21797,1
0.28571,0.14286,0.66667,0,0,0,1,0.8,1,0.25,1,0,1,0.047619,0.63043,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21799,1
0.57143,0.28571,0.33333,0.5,0.5,1,1,0.7,0.5,0.5,1,0,1,0.19048,0.69565,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21807,0
0.57143,0,0.33333,0.4,0.5,1,0,0.9,1,0.25,0.83333,0,1,0.095238,0.81522,0.010204,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21807,0
0.42857,0.28571,0.33333,0.5,0.4,1,1,1,0.83333,0.25,0.83333,0,0.2,0.14286,0.71739,0,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21809,0
0.42857,0.14286,0.66667,0.5,0.5,1,1,1,0.5,0,1,0,1,0.095238,0.66304,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2188,1
0.71429,0.14286,0.33333,0.5,0.5,0,1,0.9,0.66667,0.25,1,0,0.6,0,0.76087,0.05102,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21882,0
0.57143,0,1,0.2,0.7,1,1,0.9,0.83333,0.25,1,0,1,0,0.69565,0.05102,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.21882,1
1,0.57143,1,0,0.5,0,1,0.5,0.83333,0.25,1,0,1,0.095238,0.40217,0.030612,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21884,1
1,0.42857,0.33333,0.5,0.5,1,1,0.5,0.33333,0,0.5,0,0.2,0.095238,0.84783,0.081633,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2189,0
0.71429,0.28571,0,0.3,0.8,0,1,0.9,0.83333,0,0,0,1,0.19048,0.59783,0.010204,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2189,0
1,0.14286,1,0.5,0.5,1,1,0.8,0.16667,0.5,0.16667,0,1,0.047619,0.45652,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2189,1
0.71429,0.42857,0.33333,0.4,0.6,0,1,0.7,0.83333,0.25,0.66667,0,1,0,0.44565,0.05102,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21892,0
1,0.14286,0.33333,0.6,0.8,0,1,1,0.83333,0.25,0.16667,0,1,0.095238,0.66304,0,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21892,0
1,0,1,1,1,1,1,0.7,0.33333,0.25,1,0,1,0.14286,0.8913,0.020408,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21892,1
0,0,1,0,0,1,1,1,0.5,0.25,1,0,0.4,0.095238,0.71739,0.010204,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21928,1
0.85714,0.14286,0.33333,0,0.6,1,1,0.8,0.33333,0.5,1,0,1,0.095238,0.5,0.010204,0.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21932,0
0.42857,0,1,0,0,1,1,0.9,0.66667,0.25,1,0,0.4,0.14286,0.69565,0.010204,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21934,1
1,0.14286,0.33333,0.8,0.3,1,1,0.8,0.33333,0.75,1,0,0.4,0.19048,0.67391,0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21938,0
